window_index,start_time_sec,end_time_sec,rms_energy,zero_crossing_rate,spectral_centroid_hz,spectral_rolloff_hz,band_energy_0_500,band_energy_500_2000,band_energy_2000_5000,band_energy_5000_10000
0,0.0,0.1,2981.343657,0.081284,2450.02,4750.0,13069.370958,32171.260566,23730.690723,10314.742992
1,0.05,0.15,3012.165321,0.107128,2454.46,4790.0,13252.684312,32447.224814,24015.430887,10564.225392
2,0.1,0.2,2648.874062,0.119633,2958.55,6480.0,10918.925555,27411.643664,18290.036045,15015.267557
3,0.15,0.25,3409.612846,0.169654,2872.35,6150.0,13524.901527,39156.190513,26783.606519,18670.929956
4,0.2,0.3,3199.390532,0.17549,2678.99,5550.0,13339.756837,35851.501648,27004.676463,15146.995536
5,0.25,0.35,3460.848248,0.174656,2640.65,5580.0,15503.237529,34213.463038,26665.30618,14801.613197
6,0.3,0.4,2788.969551,0.1609,2598.05,5450.0,12021.802805,29252.995703,21321.605084,11779.788225
7,0.35,0.45,2582.091924,0.159233,2712.57,5590.0,10029.037294,27252.625325,22849.658827,11911.055299
8,0.4,0.5,2521.383245,0.165069,2658.57,5460.0,9881.289893,27195.808967,22337.375184,11339.911976
9,0.45,0.55,2747.452231,0.169237,2701.96,5470.0,11442.352525,29408.354548,24230.779083,13140.189314
10,0.5,0.6,2753.415883,0.166736,2708.1,5480.0,11432.156573,29188.431679,24365.949374,13178.101178
11,0.55,0.65,2878.283654,0.174656,2572.91,5450.0,15123.350173,28478.130754,21700.771042,12154.028536
12,0.6,0.7,3489.19548,0.16757,2615.34,5540.0,16321.893823,36431.42729,25706.380452,14490.347346
13,0.65,0.75,2925.374743,0.157566,2527.83,5360.0,12178.97235,32910.489177,21583.495111,11745.849812
14,0.7,0.8,3201.259519,0.163818,2617.06,5480.0,12992.666726,34598.63529,24942.460019,12845.239239
15,0.75,0.85,2786.12222,0.167987,2480.3,4990.0,10584.502027,30484.206619,22331.922027,10319.349682
16,0.8,0.9,2867.27142,0.156732,2613.88,5310.0,12332.300959,30820.780756,23026.796184,12098.177519
