window_index,start_time_sec,end_time_sec,rms_energy,zero_crossing_rate,spectral_centroid_hz,spectral_rolloff_hz,band_energy_0_500,band_energy_500_2000,band_energy_2000_5000,band_energy_5000_10000
0,0.0,0.1,2.598557,0.004584,3086.92,7600.0,13.708266,3.368996,2.515219,1.979467
1,0.05,0.15,9.13374,0.004376,2251.61,4860.0,45.526923,8.028561,3.594983,3.908205
2,0.1,0.2,15.840757,0.002709,2050.85,3730.0,75.663368,11.126926,5.392661,5.418757
3,0.15,0.25,25.956474,0.001667,2217.82,4390.0,107.14013,21.313139,10.837271,8.911565
4,0.2,0.3,40.771888,0.00125,1490.94,1290.0,170.611298,17.571237,8.434887,7.268161
5,0.25,0.35,61.01885,0.002084,952.98,510.0,271.745145,24.720469,6.686421,5.616455
6,0.3,0.4,82.882689,0.002292,1354.22,1180.0,363.674715,41.799996,18.966942,14.640741
7,0.35,0.45,101.119507,0.001459,2160.71,4190.0,455.999961,78.110645,46.821895,36.686187
8,0.4,0.5,128.394376,0.00125,1923.65,3230.0,551.910067,90.472567,48.920405,37.869579
9,0.45,0.55,169.776841,0.002084,1235.17,1070.0,747.419114,95.539211,37.86966,27.866694
10,0.5,0.6,213.35977,0.002292,1745.72,2510.0,996.472054,153.7931,77.523919,59.328465
11,0.55,0.65,257.993393,0.001875,2494.16,5490.0,1235.743142,259.744319,160.832223,124.915862
12,0.6,0.7,285.54952,0.002917,1808.54,2740.0,1201.638254,200.934875,98.303449,75.811577
13,0.65,0.75,339.389125,0.002917,1958.88,3350.0,1381.96238,265.111983,128.016427,99.209514
14,0.7,0.8,421.835875,0.002501,819.16,760.0,1691.91247,266.658184,51.080996,36.463415
15,0.75,0.85,506.982965,0.002084,439.76,630.0,1940.322799,345.074929,31.399653,13.368159
16,0.8,0.9,585.066157,0.00125,932.54,850.0,2363.913936,433.284818,91.132827,60.527531
17,0.85,0.95,661.374606,0.001459,1956.01,3280.0,2836.517472,604.039338,276.269942,205.62788
18,0.9,1.0,772.409749,0.002292,1928.33,3180.0,3449.419824,639.030606,302.63546,240.460317
19,0.95,1.05,876.47633,0.002084,1843.94,2910.0,3863.419083,608.932929,321.219104,249.409087
20,1.0,1.1,992.094115,0.001667,838.86,630.0,4239.89719,538.623316,131.309976,96.222263
21,1.05,1.15,1108.168188,0.002501,1329.2,1190.0,4804.083051,789.190032,267.735968,202.330657
22,1.1,1.2,1212.909176,0.002501,1149.33,950.0,5019.427318,802.987483,247.426214,173.63143
23,1.15,1.25,1362.08858,0.002709,2745.02,6410.0,6593.257577,1631.167932,1014.210249,783.363688
24,1.2,1.3,1547.837261,0.002292,1413.66,1490.0,7014.78005,1087.944079,435.389787,313.83677
25,1.25,1.35,1610.556845,0.001667,502.51,640.0,6581.914688,1155.250834,212.116953,56.454184
26,1.3,1.4,1751.31253,0.001667,524.05,570.0,7147.068266,1189.807783,209.874603,70.616485
27,1.35,1.45,1880.026794,0.001459,2898.43,6940.0,8509.379202,2423.264283,1452.378743,1122.791506
