clip_id,source_file,dataset,category,behavior_class,relevance_tier,license,actual_duration_sec,original_sr,num_windows,feature_file,split
baseline_tank,tank.wav,Baseline,tank,STATIONARY,CORE,DRDO_Baseline_Open,4.992,48000,98,baseline_tank.npy,train
baseline_heli,heli.wav,Baseline,heli,NON_STATIONARY,CORE,DRDO_Baseline_Open,27.48,48000,548,baseline_heli.npy,train
baseline_gun_fight,gun_fight.wav,Baseline,gun_fight,IMPULSIVE,CORE,DRDO_Baseline_Open,40.2,24000,803,baseline_gun_fight.npy,train
esc50_1-100210-A-36,1-100210-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-100210-A-36.npy,train
esc50_1-100210-B-36,1-100210-B-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-100210-B-36.npy,train
esc50_1-101296-A-19,1-101296-A-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-101296-A-19.npy,val
esc50_1-101296-B-19,1-101296-B-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-101296-B-19.npy,train
esc50_1-101336-A-30,1-101336-A-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-101336-A-30.npy,val
esc50_1-103995-A-30,1-103995-A-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-103995-A-30.npy,train
esc50_1-103999-A-30,1-103999-A-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-103999-A-30.npy,train
esc50_1-115521-A-19,1-115521-A-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-115521-A-19.npy,train
esc50_1-115545-A-48,1-115545-A-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-115545-A-48.npy,train
esc50_1-115545-B-48,1-115545-B-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-115545-B-48.npy,test
