parameter,index,float_orig,q15_int,float_recon,abs_error
Step Size (mu),N/A,0.005,164,0.0050048828125,4.882812499999896e-06
Filter Weight w[k],0,-0.08782191680684626,-2878,-0.08782958984375,7.673036903743657e-06
Filter Weight w[k],1,0.3155000144869413,10338,0.31549072265625,9.291830691315894e-06
Filter Weight w[k],2,0.16239575926798355,5321,0.162384033203125,1.1726064858552654e-05
Filter Weight w[k],3,0.06906093893792564,2263,0.069061279296875,3.4035894935779964e-07
Filter Weight w[k],4,-0.2407869516902944,-7890,-0.24078369140625,3.260284044404038e-06
Filter Weight w[k],5,-0.24080383576465814,-7891,-0.240814208984375,1.037321971686378e-05
Filter Weight w[k],6,-0.3093414714822604,-10137,-0.309356689453125,1.5217970864622732e-05
Filter Weight w[k],7,0.25632330204245457,8399,0.256317138671875,6.163370579570504e-06
Filter Weight w[k],8,0.07078050822024617,2319,0.070770263671875,1.0244548371174389e-05
Filter Weight w[k],9,0.14565080445723183,4773,0.145660400390625,9.595933393169442e-06
Filter Weight w[k],10,-0.33559085399293825,-10997,-0.335601806640625,1.0952647686746086e-05
Filter Weight w[k],11,0.32893689651339597,10779,0.328948974609375,1.207809597902898e-05
Filter Weight w[k],12,0.2327098485602952,7625,0.232696533203125,1.3315357170196052e-05
Filter Weight w[k],13,-0.20136262252520667,-6598,-0.20135498046875,7.642056456674817e-06
Filter Weight w[k],14,-0.22272252295502956,-7298,-0.22271728515625,5.237798779561542e-06
Filter Weight w[k],15,-0.2216168431025963,-7262,-0.22161865234375,1.8092411536996256e-06
Filter Weight w[k],16,-0.1370304299283236,-4490,-0.13702392578125,6.504147073593813e-06
Filter Weight w[k],17,0.01732950214256651,568,0.017333984375,4.482232433489219e-06
Filter Weight w[k],18,-0.04763848695051898,-1561,-0.047637939453125,5.47497393976748e-07
Filter Weight w[k],19,-0.14613960186137065,-4789,-0.146148681640625,9.079779254350662e-06
Filter Weight w[k],20,0.07829702630566565,2566,0.07830810546875,1.1079163084348753e-05
Filter Weight w[k],21,-0.2523542975435707,-8269,-0.252349853515625,4.4440279456936516e-06
Filter Weight w[k],22,-0.1454987460253473,-4768,-0.1455078125,9.066474652708045e-06
Filter Weight w[k],23,-0.09354670969441581,-3065,-0.093536376953125,1.03327412908083e-05
Filter Weight w[k],24,-0.030751011048074872,-1008,-0.03076171875,1.0707701925127822e-05
Filter Weight w[k],25,0.19962317297510945,6541,0.199615478515625,7.69445948445302e-06
Filter Weight w[k],26,-0.21022835248914817,-6889,-0.210235595703125,7.243213976826368e-06
Filter Weight w[k],27,0.009964106889528146,327,0.009979248046875,1.5141157346854062e-05
Filter Weight w[k],28,0.06469019820342975,2120,0.064697265625,7.067421570250421e-06
Filter Weight w[k],29,-0.31748471109600157,-10403,-0.317474365234375,1.0345861626570585e-05
Filter Weight w[k],30,0.07528139633100683,2467,0.075286865234375,5.468903368166522e-06
Filter Weight w[k],31,-0.23063311341889592,-7557,-0.230621337890625,1.1775528270918656e-05
Audio Sample x[n],0,0.00030517578125,10,0.00030517578125,0.0
Audio Sample x[n],1,0.0003662109375,12,0.0003662109375,0.0
Audio Sample x[n],2,3.0517578125e-05,1,3.0517578125e-05,0.0
Audio Sample x[n],3,-0.000579833984375,-19,-0.000579833984375,0.0
Audio Sample x[n],4,-0.000396728515625,-13,-0.000396728515625,0.0
Audio Sample x[n],5,-0.000579833984375,-19,-0.000579833984375,0.0
Audio Sample x[n],6,-0.00048828125,-16,-0.00048828125,0.0
Audio Sample x[n],7,-0.00054931640625,-18,-0.00054931640625,0.0
Audio Sample x[n],8,-0.001190185546875,-39,-0.001190185546875,0.0
Audio Sample x[n],9,-0.000579833984375,-19,-0.000579833984375,0.0
